"","country","avg_accuracy"
"1","Tajikistan",97.2222222222222
"2","Tanzania",97.0588235294118
"3","Martinique",94.5945945945946
"4","Chile",94.0331751002313
"5","Pakistan",92.9909723059878
"6","Nepal",92.491894393346
"7","New Zealand",92.3641536386634
"8","Mexico",92.2557286012808
"9","Taiwan",91.9327325369276
"10","Solomon Islands",91.8174726022544
"11","Greece",91.4667465348841
"12","Panama",91.2691785826114
"13","Russia",90.2407628284888
"14","Canada",89.7435897435898
"15","Kyrgyzstan",89.5522388059701
"16","India",89.1828050815721
"17","Ecuador",88.4466099958359
"18","Japan",88.2592845590014
"19","Papua New Guinea",87.954187189456
"20","Costa Rica",87.1120107962213
"21","Guatemala",86.9565217391304
"22","United States of America",85.9380952487226
"23","Myanmar",85.3863442610246
"24","Indonesia",84.9864832875485
"25","Peru",84.8153433664244
"26","People's Republic of China",84.6985153373367
"27","Colombia",82.9449329860989
"28","Philippines",82.4878957767285
"29","Venezuela",82.1917808219178
"30","Iran",81.7796106980323
"31","Argentina",81.540825285338
"32","Turkey",81.2895411644623
"33","Mongolia",80.5970149253731
"34","Haiti",80.1587301587302
"35","Vanuatu",79.8621167954629
"36","El Salvador",78.7878787878788
"37","Italy",78.7878787878788
"38","United Kingdom of Great Britain and Northern Ireland (the)",78.0625748137738
"39","Botswana",76.9230769230769
"40","Nicaragua",75.7575757575758
"41","Tonga",75.7575757575758
"42","Mozambique",71.4285714285714
"43","South Georgia and the South Sandwich Islands",70.4225352112676
"44","Afghanistan",69.9403599403599
"45","Algeria",67.6470588235294
"46","Bolivia",59.5022624434389
"47","Antarctica",58.0854472465005
"48","Fiji",51.3164619030468
"49","Brazil",39.8876657436798
